N	M	R_coefficient	Q_coefficient
26	11	-9.624858053541758e-13	1.0856672377093637e-13
26	12	2.8567975283430267e-13	1.1216330182210177e-12
26	13	-2.5235055037089326e-13	-9.779612672717928e-14
26	14	-7.433649913637293e-13	-1.5210866042471849e-12
26	15	-1.5765288056780224e-12	7.361012254148111e-14
26	16	-4.150663220393686e-13	-6.185765511404956e-13
26	17	-6.00397912807591e-13	-7.065566867154633e-13
26	18	2.83485076325179e-13	1.7585564116532676e-13
26	19	4.3009830641645055e-13	-1.150937786479499e-13
26	20	1.07249500344797e-12	-2.606946236037408e-13
26	21	9.346612914497377e-13	1.1271214071248836e-12
26	22	4.832519486655077e-13	-5.46514864522526e-13
26	23	1.9210962190837145e-12	-6.869704859005039e-14
26	24	-1.1089081654875978e-12	4.234946571853513e-13
26	25	1.5390878767114841e-13	2.602034031067624e-14
26	26	-9.615512763182217e-14	4.775823020469877e-13
27	0	-5.690079045319584e-14	0.0
27	1	3.4426866647781356e-13	1.567479865428534e-13
27	2	4.818064744091062e-14	8.603238465204216e-13
27	3	-2.1752390653702458e-13	-1.0310126912337232e-12
27	4	3.1183327862710193e-13	4.480473035075528e-14
27	5	-7.845195255200577e-13	7.116386722932803e-13
27	6	-1.6892463320040674e-13	1.023498550662817e-12
27	7	8.928213272118446e-13	-4.6915297234432994e-14
27	8	3.992498268309461e-13	-2.9156216659504967e-13
27	9	-3.556812504476002e-13	-1.1893415794842614e-12
27	10	-6.389024009970301e-13	-1.147009461959933e-13
27	11	9.190624162159796e-13	8.960092991877682e-13
27	12	1.5615305539118684e-12	9.623329146709414e-13
27	13	8.320352764399636e-15	7.626717467314926e-13
27	14	-5.061926500900086e-13	-1.0230514292482322e-12
27	15	9.24693007426169e-13	1.043259401479211e-12
27	16	-9.304811757194124e-13	-6.449045492340775e-13
27	17	-3.8658427753949103e-13	2.60185989251928e-13
27	18	-2.836272398913915e-13	-1.2225569624711707e-12
27	19	5.41387027251444e-13	-1.3092330269781998e-13
27	20	7.458858713337181e-13	-9.62639043058463e-13
27	21	5.753753700190751e-13	1.2654796483898733e-12
27	22	-5.979422102757691e-13	-3.978789221166349e-13
27	23	7.30774203492577e-13	1.2751028800365252e-12
27	24	1.4563094724965395e-14	-2.7088808414115484e-13
27	25	4.408900198095522e-13	-5.867813388272999e-13
27	26	-3.843720456407774e-13	3.7370868684753737e-14
27	27	-1.1996191025564356e-13	6.291864253957352e-13
28	0	4.2417626993084807e-13	0.0
28	1	-8.858572148312611e-13	-3.744373603573958e-13
28	2	-2.9580159196505644e-13	2.1380316724789947e-12
28	3	2.540615670766439e-13	6.421407881438368e-13
28	4	-5.183341012753035e-13	-3.8349017972516264e-13
28	5	6.325383596456314e-13	-1.2163430954436018e-13
28	6	-1.1010427673805988e-12	-2.6559294993324345e-13
28	7	5.3696938232805e-13	7.737219990883024e-13
28	8	1.2199880449062372e-12	1.7651172723073212e-13
28	9	6.460209376070949e-13	-6.630542424440209e-13
28	10	-1.2087299354217677e-12	5.982221541495546e-14
28	11	1.6163667836698055e-12	7.36322920331811e-13
28	12	1.1691422848343918e-12	4.453575920985937e-13
28	13	1.1906352316443118e-12	6.921129185972784e-13
28	14	-1.4084330875298513e-12	-2.287249874894104e-12
28	15	1.9377948064685547e-12	8.563981645825608e-13
28	16	5.772919102975281e-13	-2.46147211129868e-13
28	17	6.436292366015561e-13	6.979693923745807e-13
28	18	-1.4240953110547907e-12	-1.5129863700384668e-12
28	19	1.2958169502607982e-15	1.369880636880506e-13
28	20	-3.0264655592360753e-13	-1.8470874704566084e-13
28	21	8.746150497593194e-13	-9.477107361333897e-14
28	22	-9.050129596060836e-13	1.8308736503311236e-13
28	23	-3.8520192606537103e-13	-1.0759866725042796e-12
28	24	1.5373178968459398e-13	1.7430272050965818e-12
28	25	-3.205422238322001e-13	-1.3267269865995782e-12
28	26	2.3043450094946e-12	-7.527352719136717e-13
28	27	5.687900114854669e-14	7.285460683991177e-13
28	28	-4.4186205114235845e-14	1.5046921010398e-13
29	0	6.466035433729425e-13	0.0
29	1	-9.58167522069815e-13	-4.56815154692022e-13
29	2	-3.543272921112975e-13	1.046926432395559e-12
29	3	9.5725655999788e-14	5.561731460155685e-13
29	4	-5.89261468440511e-13	1.1413704904375917e-12
29	5	1.4053019418015763e-12	-3.8484979628008453e-13
29	6	-9.640251443788167e-13	-1.2815737432182666e-12
29	7	2.4041268081926805e-14	4.185081192065936e-14
29	8	4.0810102628173634e-13	4.591518985087025e-13
29	9	7.633003420483712e-13	-3.4190089148093e-13
29	10	-5.133516629051206e-13	2.593854641805118e-13
29	11	1.597275834648907e-12	3.1000330921096054e-13
29	12	7.748147361206906e-13	2.3944057252726227e-13
29	13	1.2919784987415526e-12	-2.0690682123932006e-13
29	14	-2.334591443501712e-12	-2.2456643429259026e-12
